topic_no,scoring_criteria
4,"Score 0 if any one of the directors is marked as permanent board members as well as they are not explicitly mentioned to be representatives of lenders. Score 1 if the directors which are marked as permanent board members, but those are representatives of lenders. Remember that usually this case is applicable for financially distressed companies. So unless it is mentioned explicitly that lenders have sent those board members as representative, do not assume so. Score 2 if All directors are marked as non-permanent board members"
7,Score 0 if the content finds the gap between FYE (financial year ending) and AGM more than 6 months. Or any such details is not available. Score 1 if the content finds the gap between FYE (financial year ending) and AGM is between 4 to 6 months. Score 2 if the content finds that the gap between FYE (financial year ending) and AGM is less than 4 months.
10," The content here is about information regarding the conflict of interest with stake holders. Two main things to check are the policy and adherence to the policy. 

Score 0 if you find there is no policy regarding the conflict of interest with stake holders 
or Score 0 if you find the company has incidents of stakeholder conflict of interest. 

Score 1 if there is policy available regarding the conflict of interest with stake holders.However, the policy does not mention explicitly that it covers suppliers and vendors. 

Score 2 if you find following 3 conditions met : 1) there is policy available regarding the conflict of interest with stake holders  (2) policy covers all stake holders including the suppliers and vendors (3) Also no conflict of interest with stake holders is reported"
12,Here we are comparing the royalty transactions with the related parties to the profit of the company. Score 0 if ratio of the royalty payments to the related parties to the profit of the company is more than 0.2. Score 1 if ratio of the royalty payments to the related parties to the profit of the company is more than 0.1 but less than 0.2. Score 2 if if ratio of the royalty payments to the related parties to the profit of the company is less than 0.1.
16, The content here is about structures of mechanisms that could violate the minority stake holders rights. Score 0 if you get the impression that yes the structure or mechanisms are such that it could be unfair treatments of minority stakeholders and their rights could be violated. Score 2 if you get the impression that there is no evidence that structure or mechanisms could violate minority stakeholders' rights.
18,"We are assessing the company on health, safety, and welfare related aspects. Score 0 if you get the impression that the policies are not publicly disclosed and the company has not provided information on the number of employee accidents or there have been labour fatalities on account of accidents in the work place. Score 1 if you get the impression that The policies are publicly disclosed or the company has provided information on the number of employee accidents  Score 2 if you get the impression that The company has provided information on the number of employee accidents and has publicly disclosed its health and safety policies"
19,Score 0 if you get the impression that the policy regarding sexual harrassment has not been publicly disclosed and the company has not provided information on the number of sexual harassment incidents. Score 1 if you get the impression that the policy regarding sexual harrassment is publicly disclosed or the company has provided information on the sexual harassment incidents. Score 2 if you get the impression that the company has provided information on the number of sexual harassment incidents and has publicly disclosed its prevention of sexual harassment policy. 
20,"Check if complay has policies for either supplier/vendor management or selection. Score 0 if you get the impression that policies are not available for both supplier/contractor management and selection. Score 1 if you get the impression that policies are available either for supplier/contractor management or selection and not both. Score 2 if you get the impression that policies are available for both supplier/contractor management and selection. While checking, it is not necessary that the policies should have any metrics or KPIs. The mere presence of policies is sufficient."
21,"Check if in whole content there is any indication whether company has delayed the payment to any lender, vendor or supplier. Please do not include disputed cases in this. Score 0 if you find that company has delayed the payment to any lenders. Or delay in payment has resulted into rating decrease for the company. Score 1 if you find that company has delayed the payment to suppliers, vendors, but not to any lenders. Score 2 if you find that company has not delayed the payment to any lenders, suppliers or vendors."
22,"Based on the information provided in the context, we are trying to assess the ethical standards and anti-corruption policies of the company. We only need overall score and justification. Ignore other information provided to you. Score 0 if you find in the context policy regarding the ethical standards or anti corruption is not available. Score 1 if you find in the context policy regarding the anti curryption is available but it does not mention any anti-corruption or anti-bribary measures. Score 2 if you find in the context policy regarding the ethics and anti-corruption and anti-bribary are available with appropriate meausures."
23," We are trying to assess the social responsibility of the company and are taking CSR spending as proxy. Score 0 if for all 3 years,  net profit is positive number and yet have not spent on CSR activities. Score 1 if for all 3 years, ratio of amount spent in CSR activities to the net profit is between 0 and 0.02 (exclusive). Score 2 if for all 3 years, ratio of amount spent in CSR activities to the net profit is more than 0.02 or negative."
28," We are trying to assess if auditors have raised any concern or not.Score 0 if Auditor has issued a qualified opinion or the financial statements have been restated or the auditor has resigned due to differences in accounting opinion. Score 1 if Auditor has raised an emphasis of matter. Score 2 if Auditor has issued an unqualified opinion without any matter of emphasis.
        "
32," We are trying to assess if company has related party transaction policy and if yes, how comprehensive it is. Score 0 if there is no policy available for related party transactions. Score 1 if the policy for related party transactions is available but either of definition of ordinary business, definition of materiality of transaction or reuiqement of such transaction reviewed by external auditor is missing. Score 2 if the policy for related party transaction is available all of following is mentioned: definition of ordinary business, definition of materiality of transaction and reuiqement of such transaction reviewed by external auditor.
       "
36," We are trying to see if company transperantly discloses the information about the shareholding pattern. Score 0 if shareholding pattern is not available and the annual report does not have the top 10 shareholder names. Score 1 if either of shareholding pattern is available or the annual report has the top 10 shareholder names. Score 2 if both the shareholding pattern and the top 10 shareholder names are mentioned in annual report.
       "
37," We are trying to see if company transperantly discloses the information about the shareholding pattern for board members and key management personals. Score 0 if shareholding information is not available for both board members and key management personals. Score 1 if shareholding information is available for either of board members or key management personals. Score 2 if shareholding information is available for both board members and key management personals.
       "
38," We are trying to see if company has dividend distribution policy and it talks about the dividend distribution ratio and follows it or not. Score 0 if dividend distribution policy is not available or if it is available clear guidance on payout ratio is not given. Score 1 if there is dividend distribution policy and the guidance for the payout ratio is available, but in last 3 years the ratio is not rigourously followed. There have been deviations. Score 2 if the policy is publicly available, specifies a target payout ratio; and there have not been any deviations from the policy in the past three years or the rationale for deviation has been clearly provided
        "
44,"We are trying to see if board members and key management personals are well qualified or not. Score 0 if qualifications, field of experties and number of years of experience in the field is not available for both board members and key management personals. Score 1 if qualifications, field of experties and number of years of experience in the field is available for either board members or key management personals. Score 2 if qualifications, field of experties and number of years of experience in the field is available for both board members and key management personals.
        "
45," We are trying to see if board members and key management personals were fined by regulators or stock exchanges. Score 0 if there is any mention of either board members or key management personals being fined by regulators or stock exchanges. Score 2 if there is no mention of either board members or key management personals being fined by regulators or stock exchanges.
       "
48," We are trying to see if board members attend meeting regularly or not. We will evaluate the attendance ratio (number of meetings they attended compared to number of total meetings that occured) of all board members. Score 0 if overall attendance ratio for all board members on an average is less than 0.75. Score 1 if overall attendance for all board members on an average is between 0.75 and 0.90. Score 2 if overall attendance for all board members on an average is more than 0.90.
       "
49,"  We are trying to see if board members met enough number of times or not. Score 0 if board met less than 4 times in the financial year. Score 1 if board met exactly 4 times in the financial year. Score 2 if board met more than 4 times in the financial year.
      "
51,"We are trying to assess the experties of board collectively in area among [Legal, financial, Marketing, General Management, Supply chain, Operations, Industry relevant experience, other]. Score 1 if collectively board has strong experties (more than 10 years in each) in less than 3 areas and at least one member has prior working experience in the major industry in which company operates. Score 2 if collectively board has strong experties (more than 10 years in each) in at least 3 areas and at least one member has prior working experience in the major industry in which company operates. Score 0 otherwise.
        "
52,We are trying to assess gender ratio of independent board members. Score 0 if there are no independent board members who is female i.e the gender ratio for independent director is 0. Score 1 if independent board members gender ratio is less than 0.3 and more than 0. Score 2 if independent board members gender ratio is more than 0.3.
53,We are trying to assess gender ratio of whole company's workforce. Score 0 if there is not information available or female to total workforce ratio is less than 10%. Score 1 if female to total workforce ratio is less between 10% (inclusive) and 30%. Score 2 if female to total workforce ratio is more than or equal to 30%
54,"We are trying to assess independence of the board. Score 0 board chainman is executive/promoter and independence of the board is less than 50%. Score 0 board chainman is not executive/promoter and independence of the board is less than 33%. Score 1 if for board whose chairman is executive/promoter, independence of the board is 0.5 or more or if chairman is not executive/promoter, independence of the board is 0.33 or more. If you see there are vintage members on board, but they do not affirm to independence annually. If there are no confirmed vintage members, then do not bother. Score 2 if for board whose chairman is executive/promoter, independence of the board is 0.5 or more or if chairman is not executive/promoter, independence of the board is 0.33 or more. 
       "
55,"We are trying to assess if committess formation is fine. Criteria 1 is Audit committee should have more than or equal to 3 members. Criterial 2 is Audit committee and NRC committee members should be independent Criteria 3 is members on either Audit committee or NRC committee should not be on board for more than 10 years. Score 0 if 2 or more criteria is violated. Score 1 if only one criteria is violated. Score 2 if no criteria is violated.
       "
63,We are trying to assess if CEO compensation is fine. Score 0 if Total compensation of CEO is more than 0.05 of net profits. Otherwise score 2